127.0.0.1 - - [16/Sep/2019:15:10:30 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:28:57 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:29:16 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:29:22 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:29:28 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:29:44 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:30:10 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:30:30 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:30:45 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:30:55 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:31:20 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:31:28 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:31:55 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:32:00 +0200] "GET /lab16/login?username=&password=&button=Login HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:32:51 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:33:10 +0200] "GET /lab16/loginform.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:40:09 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:40:19 +0200] "GET /lab16/login?username=vilde.kristine&password=entotre&button=Login HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:40:59 +0200] "GET /lab16/login?username=vilde.kristine&password=entotre&button=Login HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:41:05 +0200] "GET /lab16/login?username=vilde.kristine&password=hnoi&button=Login HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:41:10 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:41:19 +0200] "GET /lab16/login?username=vilujn&password=dfgy&button=Login HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:41:32 +0200] "GET /lab16/login?username=vilujn&password=hjo&button=Login HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:41:35 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:41:39 +0200] "GET /lab16/login?username=hjo&password=hjo&button=Login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:43:46 +0200] "GET /lab16/login?username=hjo&password=k&button=Login HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:00 +0200] "GET /lab16/login?username=hjo&password=ji&button=Login HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:02 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:05 +0200] "GET /lab16/login?username=hui&password=no&button=Login HTTP/1.1" 500 1764
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:22 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:24 +0200] "GET /lab16/login?username=bjp%E5&password=&button=Login HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:52 +0200] "GET /lab16/login?username=bjp%E5&password=&button=Login HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:44:57 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:45:00 +0200] "GET /lab16/login?username=ihpj%E5&password=SBJNL&button=Login HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:45:11 +0200] "GET /lab16/login?username=ihpjH&password=JO&button=Login HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:47:24 +0200] "GET /lab16/loginform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:15:47:28 +0200] "GET /lab16/login?username=yuhl%F8&password=kblj&button=Login HTTP/1.1" 200 265
